"id","identifier","googlePlaceId","lat","lng","name","country","city","province","streetAndNumber","zip","businessId","addressExtra"
3591840,"916017253","ChIJXVZQ_JYDGA0RADEiuDBRj3g",39.06622202,-8.87719853,"ALDI Azambuja","PT","Azambuja","Lisboa","Est. Real","2050-281",1460040,NA
3591841,"916198418","ChIJEchTraRpJA0RJCVfffpXQNY",41.20208717,-8.69779745,"ALDI Leça da Palmeira","PT","Leça da Palmeira","Porto","Rua Dom Marcos da Cruz 50","4450-626",1460040,NA
3591842,"916148271","ChIJBapwfbdlJA0RnjWr1jfyvjc",41.12551831,-8.59657748,"ALDI Mafamude","PT","Vila Nova de Gaia","Porto","Rua de Raimundo de Carvalho 727","4400-004",1460040,"Mafamude"
3591843,"916208939","ChIJP2_PU2zxJA0RQKxFWEUIGI0",41.4367922,-8.3124869,"ALDI Creixomil","PT","Guimarães","Braga","Rua de São Miguel 1097","4835-106",1460040,"Creixomil"
3591844,"916041902","ChIJXy5wKSFLGQ0RrFO3ypZK2lc",38.58353649,-9.17069193,"ALDI Aroeira","PT","Aroeira","Setúbal","Avenida Dom Afonso Henriques","2820-026",1460040,"Lote 149"
3591845,"916043563","ChIJB8GgRD4nGQ0RJiBBoS4ZVdI",38.96424097,-8.9835785,"ALDI Vila Franca de Xira","PT","Vila Franca de Xira","Lisboa","Avenida Barranco de Cegos","2600-214",1460040,"Nº 12"
3591846,"PT001096","ChIJs2mk9N1_JA0R7qGAEaJaPSA",40.98834799,-8.53683372,"ALDI Lourosa","PT","Lourosa","Aveiro","Avenida Principal","4535-014",1460040,"EN1"
3591847,"916014694","ChIJ-6r5ok7OGg0R3vc3pMuzTbw",37.1294865229104,-8.28288495211487,"ALDI Vale Parra","PT","Guia","Faro","Estrada de Vale Rabelho, Vale Parra 1721","8200-428",1460040,"Vale Parra"
3591848,"PT001101","ChIJTWLiKP7ZGg0RH2h9k1POrFk",37.19357275,-8.43547083,"ALDI Silves","PT","Silves","Faro","Rua do Cemitério","8300-180",1460040,NA
3591849,"916039354","ChIJpcPM7JYDGA0RY-av_3kpTUo",38.9659801,-9.41016722,"ALDI Ericeira","PT","Ericeira","Lisboa","Estrada Nacional 78","2655-454",1460040,"116"
3591850,"PT001030","ChIJlcIIn0iJGA0RcJmSQAnnLrQ",39.47240106,-8.48461919,"ALDI Entroncamento","PT","Entroncamento","Santarém","Rua Bartolomeu de Gusmão 3","2330-027",1460040,NA
3591851,"PT001022","ChIJd2X46KEpHw0RK38Tg3kJCrc",38.95234359,-9.33350222,"ALDI Mafra","PT","Mafra","Lisboa","N 116 8","2640-577",1460040,"Salgados"
3591852,"PT001113","ChIJqy_WhXUjEA0RQ083nmwD4QE",37.1964435,-7.4263087,"ALDI Vila Real de Santo António","PT","Vila Real de Santo António","Faro","Avenida Municipio de Playa","8900-487",1460040,NA
3591853,"916330867","ChIJ-dYwx--pGA0RdMsxElxAgm4",39.61118,-9.06211,"ALDI Nazaré","PT","Nazaré","Leiria","Avenida de Badajoz 1","2450-284",1460040,NA
3591854,"916300416","ChIJ-V9z1LgdFw0R1Vt6sgPe44g",38.87430999,-7.17347169,"ALDI Elvas","PT","Elvas","Portalegre","Avenida António Sardinha 20","7350-091",1460040,NA
3591855,"No_identifier_PT07","ChIJAwQG3t_PHg0R8eP6Nb8hv6s",38.72135231,-9.33796353,"ALDI Abóboda","PT","São Domingos de Rana","Lisboa","Estrada Nacional 249","2785-784",1460040,"Abóboda"
3591856,"PT001010","ChIJEwS-O1_xGA0RLscJarf_z68",39.2049139,-8.6241014,"ALDI Almeirim","PT","Almeirim","Santarém","Rua Condessa da Junqueira 578","2080-069",1460040,NA
3591857,"PT001098","ChIJW0m06rXNGg0RA6F8iRFwLE0",37.09511482,-8.2247488,"ALDI Albufeira II","PT","Albufeira","Faro","Rua Manuel Teixeira Gomes","8200-269",1460040,NA
3591858,"916038097","ChIJuYp1ldlzIg0RapJbQMP2P_Y",39.76089319,-8.8202324,"ALDI Gândara dos Olivais","PT","Leiria","Leiria","Rua Estrada Figueira da Foz","2415-497",1460040,"Gândara dos Olivais, Madeiras"
