"id","identifier","googlePlaceId","lat","lng","name","country","city","province","streetAndNumber","zip","businessId","addressExtra"
470445,"00222","ChIJbeoD4_6-JA0RyJBRU1styiM",41.27356725,-8.08744491,"Continente Modelo Amarante","PT","Amarante","Porto","Tv. de São Lázaro","4600-279",209756,NA
470446,"03197","ChIJIUo4asp5JA0RzP2JX64Ag4I",41.00045198,-8.63937925,"Continente Bom Dia Espinho","PT","Espinho","Aveiro","Rua 22 1452","4500-268",209756,NA
470447,"00260","ChIJSyjcNqU7GA0RVc_WnojTYFY",39.26317882,-8.01358164,"Continente Modelo Ponte de Sôr","PT","Ponte de Sor","Portalegre","Rua General Humberto Delgado","7400-259",209756,NA
470448,"00213","ChIJ6RN5t-iIGA0RySosaJrAob8",39.47294247,-8.54560659,"Continente Modelo Torres Novas","PT","Torres Novas","Santarém","R. de Santo António","2350-537",209756,NA
470449,"02084","ChIJm77DVcFfYAwRhE-UGl88svk",32.66020703,-16.93037888,"Continente Modelo Santo António","PT","Funchal","Madeira","R. Dr. França Jardim 2","9020-401",209756,NA
470450,"01391","ChIJpy5SGs64GA0RhFxmbRhH69I",39.33913112,-8.93047776,"Continente Modelo Rio Maior","PT","Rio Maior","Santarém","Av. Dr. Mário Soares","2040-413",209756,NA
470451,"00004","ChIJEXEiUStlJA0RndtWq7Cqv28",41.11833022,-8.62063861,"Continente Gaiashopping","PT","Vila Nova de Gaia","Porto","Av. dos Descobrimentos","4400-503",209756,"Rua Particular de Santo António, Gaiashopping"
470452,"02404","ChIJXRBd_Xd1Iw0Rxp78f9fQGr8",40.68233346,-8.47084988,"Continente Bom Dia Albergaria-a-Velha","PT","Albergaria-a-Velha","Aveiro","Rua Comendador Augusto Martins Pereira","3850-089",209756,NA
470453,"00006","ChIJbVfqVJD5Ig0RhNww_4mwQG8",40.19419588,-8.40871413,"Continente Coimbrashopping","PT","Coimbra","Coimbra","Avenida Mendes Silva","3030-193",209756,NA
470454,"00458","ChIJcQEPc2KYIw0R0aJ0N3m-V_0",40.64924466,-8.6148854,"Continente Aveiro","PT","Esgueira","Aveiro","Estrada da Taboeira","3800-000",209756,"Aveiro Shopping Center, Quinta Simão Sul"
470455,"00340","ChIJSSlUiw1lJA0Rfah9lsk25iY",41.14783184,-8.63403874,"Continente Bom Dia Massarelos","PT","Massarelos","Porto","Alameda de Basílio Teles 152","4150-138",209756,NA
470456,"01059","ChIJZ3v48Sq9Iw0RMcvYjYcsLr4",40.59571258,-8.66235982,"Continente Modelo Ilhavo","PT","Ílhavo","Aveiro","Via do Mercado","3830-246",209756,NA
470457,"00207","ChIJL7dBSnl0Gg0ReCPkNuzYqt4",38.00562432,-7.86810193,"Continente Beja","PT","Beja","Beja","Rua Zeca Afonso","7800-522",209756,NA
470458,"01978","ChIJbd76XqIoGw0RbjDiGqxTQi0",37.15196481,-8.5529842,"Continente Portimão Cabeço do Mocho","PT","Portimão","Faro","Rua das Papoilas","8500-313",209756,"Cabeço do Mocho"
470459,"00221","ChIJ6fSUMHqmGA0Rdaj_S1LTEy0",39.55839829,-8.97756152,"Continente Modelo Alcobaça","PT","Alcobaça","Leiria","Rua General Humberto Delgado","2460-052",209756,NA
