"tipoTienda","tieneFolleto","especial","codigoProvincia","codigoTienda","idTienda","posicionX","fechaVigenciaFolleto","posicionY"
0,TRUE,FALSE,12,7028,1001533,"39.29027","18/01/2023","-7.64861"
0,TRUE,FALSE,5,7051,1001556,"39.91552","18/01/2023","-7.46666"
0,FALSE,FALSE,2,7088,1001591,"38.13301",NA,"-6.97543"
0,TRUE,FALSE,10,7012,1001517,"39.92197","18/01/2023","-8.3568"
0,TRUE,FALSE,4,8006,1001800,"41.48417","18/01/2023","-7.18062"
0,TRUE,FALSE,16,8024,1001818,"41.9082","18/01/2023","-8.56223"
0,TRUE,FALSE,9,8042,1001835,"40.81117","18/01/2023","-7.54418"
0,FALSE,FALSE,9,8054,1001847,"40.62431",NA,"-7.40293"
0,TRUE,FALSE,17,8057,1001850,"41.26592","18/01/2023","-7.59044"
0,TRUE,FALSE,18,8064,1001857,"40.97047","18/01/2023","-7.60805"
0,TRUE,FALSE,6,8065,1001858,"40.40111","18/01/2023","-8.6239"
0,TRUE,FALSE,13,8067,1001860,"41.09007","18/01/2023","-8.25643"
0,TRUE,FALSE,4,8068,1001861,"41.24189","18/01/2023","-7.30685"
0,FALSE,FALSE,13,8094,1001887,"41.31018",NA,"-8.73705"
0,TRUE,FALSE,11,7726,1002460,"38.83117778","18/01/2023","-9.16875"
0,TRUE,FALSE,6,8138,1002681,"40.044017","18/01/2023","-7.950469"
0,FALSE,FALSE,11,7113,1002598,"38.711412",NA,"-9.137551"
2,TRUE,FALSE,13,8905,1002045,"41.19513","18/01/2023","-8.29719"
2,TRUE,FALSE,17,8907,1002047,"41.276713889","18/01/2023","-7.472897222"
2,TRUE,FALSE,3,486,1002504,"41.538237","18/01/2023","-8.43239"
2,TRUE,FALSE,13,8941,1002536,"41.400983333","18/01/2023","-8.746747222"
2,TRUE,FALSE,17,8951,1002640,"41.610691667","18/01/2023","-7.313436111"
2,TRUE,FALSE,13,8954,1002654,"41.223408333","18/01/2023","-8.696419444"
2,TRUE,FALSE,7,7920,1002768,"38.581375","18/01/2023","-7.902733333"
2,TRUE,FALSE,15,7917,1002787,"38.62759722","18/01/2023","-9.034577778"
2,TRUE,FALSE,6,8943,1002541,"40.196877778","18/01/2023","-8.402077778"
2,TRUE,FALSE,16,8942,1002543,"41.6482241","18/01/2023","-8.7061271"
2,TRUE,FALSE,13,8946,1002567,"41.201480556","18/01/2023","-8.645669444"
2,TRUE,FALSE,13,8947,1002575,"41.207975","18/01/2023","-8.421627778"
2,TRUE,FALSE,16,8953,1002642,"41.846802778","18/01/2023","-8.419844444"
2,TRUE,FALSE,15,7915,1002648,"38.37570833","18/01/2023","-8.509872222"
2,TRUE,FALSE,13,8957,1002691,"41.056444444","18/01/2023","-8.647061111"
