"nome","id","cidade","url","av","ap","pa","es","lat","long","nomeAux","endereco","localidade","cp","email","time","fone","recolhas"
"Intermarché Super Águeda","6743","Águeda","https://www.intermarche.pt/lojas/aveiro/07325-agueda/","True","False","True","False","40.551667","-8.444444","Intermarché Águeda","Rua do Alteiralto nº 81","Lugar da Borralha","3750-855 Borralha","geral.interagueda@gmail.com","Segunda a Domingo: 9h00 às 21h00 - ","234602930",FALSE
"Intermarché Super Albergaria-a-Velha","6997","Albergaria-a-Velha","https://www.intermarche.pt/lojas/aveiro/08236-albergaria-a-velha/","False","False","True","False","40.682211","-8.488817","Intermarché Albergaria-a-Velha","Vale da Grama","Alto do Assilhó","3850-226 Albergaria-A-Velha","interalbergaria@sapo.pt","Segunda a Domingo: 9h00 às 21h00 - ","234520270",FALSE
"Intermarché Super Arrifana","7637","Arrifana","https://www.intermarche.pt/lojas/aveiro/04373-arrifana/","True","False","True","False","40.91249","-8.49205","Intermarché Arrifana","Lugar do Outeiro, rua Aliança futebol club","Santa Maria da Feira","3700-414 Santa Maria da Feira","pdv04373@mousquetaires.com","Inverno: 09h00 às 20h30 - Verão: 09h00 às 21h00 - ","256200670",FALSE
"Intermarché Super Canedo","7638","Canedo","https://www.intermarche.pt/lojas/aveiro/06180-canedo/","True","False","True","False","41.006115","-8.466314","Intermarché Canedo","Rua principal - Lugar do Mosteiro","Santa Maria da Feira","4525-189 Santa Maria da Feira","pdv06180@mousquetaires.com","Segunda a Domingo: 8h30 às 21h00 - ","227637430",FALSE
"Intermarché Super Castelo Paiva","7639","Castelo Paiva","https://www.intermarche.pt/lojas/aveiro/06367-castelo-paiva/","True","False","True","False","41.04067","-8.271246","Intermarché Castelo Paiva","São Gião - Sobrado Apartado 12","Castelo Paiva","4550-103 Castelo Paiva","intercastelodepaiva@gmail.com","Segunda a Domingo: 8h30 às 20h30 - ","255690110",FALSE
"Intermarché Super Esmoriz","7640","Esmoriz","https://www.intermarche.pt/lojas/aveiro/08589-esmoriz/","True","True","True","False","40.962173","-8.610083","Intermarché Esmoriz","Lugar da Torre","Esmoriz","3885-462 Esmoriz","interesmoriz@sapo.pt","Todos os dias: 8h30 às 20h30 - ","256754565",FALSE
"Intermarché Super Estarreja","7641","Estarreja","https://www.intermarche.pt/lojas/aveiro/09063-estarreja/","True","False","True","True","40.760157","-8.571799","Intermarché Estarreja","Rua Desembargador Oliveira Pinto, nº20",NA,"3860-363 Estarreja","pdv09063@mousquetaires.com","8h30 às 20h30 - ","234844303",TRUE
"Intermarché Super Fajões","7642","Fajões","https://www.intermarche.pt/lojas/aveiro/06642-fajoes/","True","False","True","False","40.918135","-8.424352","Intermarché Fajões","Rua dos Bombeiros Voluntários - Lugar do Cruzeiro","Fajões","3700-672 Santa Maria da Feira","pdv06642@mousquetaires.com","Segunda a Sexta: 8h30 às 21h00 - Sábado e Domingo: 8h00 às 21h00 - ","256815010",FALSE
"Intermarché Contact Gafanha da Nazaré","7648","Gafanha da Nazaré","https://www.intermarche.pt/lojas/aveiro/07880-gafanha-da-nazare/","True","False","True","False","40.627155","-8.722162","Intermarché Gafanha da Nazaré","Rua Maria da Luz Rocha","Gafanha da Nazaré","3830-793 Gafanha da Nazaré","intergafanha@gmail.com","9h00 às 21h00 - Todos os dias (incluíndo feriados) - ","234397020",FALSE
"Intermarché Super Ilhavo","7643","Ilhavo","https://www.intermarche.pt/lojas/aveiro/04454-ilhavo/","True","False","True","False","40.58684","-8.679066","Intermarché Ilhavo","Quinta da Vista Alegre - São Salvador","Ilhavo","3830-309 Ilhavo","superilhavo@sapo.pt","9h00 às 20h30 (inverno) - 9h00 às 21h00 (Julho e Agosto) - ","234320110",FALSE
"Intermarché Super Mealhada","7644","Mealhada","https://www.intermarche.pt/lojas/aveiro/09478-mealhada/","True","False","True","True","40.365309","-8.45391","Intermarché Mealhada","Lugar das Pedrinhas","Mealhada","3050-343 Mealhada","pdv09478@mousquetaires.com","Domingo a Quinta: 8h30 às 20h30 - Sexta e Sábado: 8h00 às 21h00 - ","231209320",FALSE
"Intermarché Super Oliveira de Azemeis","7645","Oliveira de Azemeis","https://www.intermarche.pt/lojas/aveiro/08219-oliveira-de-azemeis/","True","False","True","True","40.860959","-8.484627","Intermarché Oliveira de Azemeis","Avenida Dª Maria I - Lugar de Aldas","Oliveira de Azemeis","3720-300 Oliveira de Azemeis","pdv08219@mousquetaires.com","Todos os dias: 8h30 às 20h30 - ","256665170",TRUE
"Intermarché Super Oliveira do Bairro","7646","Oliveira do Bairro","https://www.intermarche.pt/lojas/aveiro/02573-oliveira-do-bairro/","True","False","True","False","40.860959","-8.484627","Intermarché Oliveira do Bairro","Rua da Murta - Zona Industrial","Oliveira do Bairro","3770-222 Oliveira do Bairro","interbairro@sapo.pt","Segunda a Domingo: 8h30 às 20h30 - ","234730390",FALSE
"Intermarché Super Ovar","7647","Ovar","https://www.intermarche.pt/lojas/aveiro/76117-ovar/","True","False","True","False","40.8647","-8.608745","Intermarché Ovar","Rua Machado de Santos nº109/135 - S. João de Ovar","S.João - Ovar","3880-792 Ovar","pdv76117@mousquetaires.com","Segunda a Domingo: 8h00 às 22h00 - ","256585945",FALSE
"Intermarché Super Santa Maria de Lamas","7649","Santa Maria de Lamas","https://www.intermarche.pt/lojas/aveiro/03206-santa-maria-de-lamas/","True","False","True","False","40.979636","-8.575259","Intermarché Santa Maria de Lamas","Rua Santa Maria","Santa Maria de Lamas","4535-356 Santa Maria de Lamas","pdv03206@mousquetaires.com","Segunda a Domingo: 9h00 às 21h00 - ","227471470",FALSE
"Intermarché Contact Aljustrel","7651","Aljustrel","https://www.intermarche.pt/lojas/beja/07502-aljustrel/","True","False","True","False","37.884856","-8.151038","Intermarché Aljustrel","Ramal de Beja","Aljustrel","7600-073 Aljustrel","pdv07502@mousquetaires.com","Segunda a domingo: 9h00 às 20h00 - ","284602050",FALSE
