"id","country","district","county","address","postalCode","phone","in","fi","fs","pk","lat","long","fap"
883185314342,"ES","A CORUÑA","A CORUÑA","AVDA. DE OZA, 132","15006","981303071","C######","C######","15/01/23-C#22/01/23-C#29/01/23-C#05/02/23-C#12/02/23-C","S",43.353425924715,-8.393176181545,"24/11/2011"
883185313520,"ES","A CORUÑA","A CORUÑA","C/ RONDA OUTEIRO, 217","15007","981277366","C######","C######","15/01/23-C#22/01/23-C#29/01/23-C#05/02/23-C#12/02/23-C","S",43.358272753458,-8.419614926424,"09/11/2006"
883185315232,"ES","A CORUÑA","A CORUÑA","LUGAR DE MONTEPATELO, 63","15008","981303072","C#1000#1000#1000#1000#1000#1000","C#2200#2200#2200#2200#2200#2200","15/01/23-C#22/01/23-C#29/01/23-C#05/02/23-C#12/02/23-C","S",43.343187004823,-8.430894024468,"09/02/2012"
883185314430,"ES","A CORUÑA","A CORUÑA","RÚA JOSÉ PASCUAL LÓPEZ CORTÓN, 10","15008","981172014","C######","C######","15/01/23-C#22/01/23-C#29/01/23-C#05/02/23-C#12/02/23-C","S",43.336367370105,-8.410340996017,"20/10/2009"
883185315002,"ES","A CORUÑA","A CORUÑA","RÚA PANADEIRAS, 28","15001","981213681","C######","C######","15/01/23-C#22/01/23-C#29/01/23-C#05/02/23-C#12/02/23-C","S",43.372882579551,-8.398581398811,"13/05/2010"
883185313710,"ES","A CORUÑA","AMÉS","AVDA. DE MAHIA, 75","15864","981883877","C######","C######","15/01/23-C#22/01/23-C#29/01/23-C#05/02/23-C#12/02/23-C","S",42.86052388704,-8.650387521496,"19/04/2007"
883185314448,"ES","A CORUÑA","AMÉS","TRAVESÍA DO PORTO, S/N","15864","981308900","C######","C######","15/01/23-C#22/01/23-C#29/01/23-C#05/02/23-C#12/02/23-C","S",42.84787700631,-8.580785975533,"13/09/2012"
883185316300,"ES","A CORUÑA","ARTEIXO","AVDA. DIPUTACIÓN (P.I. DE SABÓN), S/N","15142","881046875","C######","C######","15/01/23-C#22/01/23-C#29/01/23-C#05/02/23-C#12/02/23-C","S",43.317386092648,-8.499271303952,"10/12/2021"
883185315462,"ES","A CORUÑA","BETANZOS","AVDA. FRAGA IRIBARNE, 7","15300","981302550","C######","C######","15/01/23-C#22/01/23-C#29/01/23-C#05/02/23-C#12/02/23-C","S",43.275670681428,-8.218340650124,"11/12/2015"
883185316574,"ES","A CORUÑA","BOIRO","RUA PRINCIPAL, 76","15930","881906600","C######","C######","15/01/23-C#22/01/23-C#29/01/23-C#05/02/23-C#12/02/23-C","S",42.647457274346,-8.883778258265,"12/12/2022"
883185313260,"ES","A CORUÑA","CARBALLO","RÚA MANUEL MARÍA, 2 - RUA VICENTE RISCO","15100","981756638","C######","C######","15/01/23-C#22/01/23-C#29/01/23-C#05/02/23-C#12/02/23-C","S",43.210149408152,-8.694804927578,"23/03/2006"
883185315586,"ES","A CORUÑA","CEE","LG. VILAR DE TOBA, S/N","15270","981302660","C######","C######","15/01/23-C#22/01/23-C#29/01/23-C#05/02/23-C#12/02/23-C","S",42.97296553748,-9.19187186739,"26/06/2014"
883185315704,"ES","A CORUÑA","CULLEREDO","AVDA. DE ALVEDRO, 5","15189","981303303","C#1000#1000#1000#1000#1000#1000","C#2200#2200#2200#2200#2200#2200","15/01/23-C#22/01/23-C#29/01/23-C#05/02/23-C#12/02/23-C","S",43.29161557357,-8.369119263338,"28/01/2016"
