"id","name","lat","long","county","district","address","postal_code","directions_url","in_maintenance","contact","gas95","gas98","diesel"
451,"1º de Dezembro",38.713742,-9.140362,"Lisboa","Lisboa","Rua 1º Dezembro","1200-358 Lisboa","http://maps.google.com/maps?z=12&t=m&q=Pingo+Doce+-+Rua+1%C2%BA+Dezembro+Lisboa",FALSE,"938875501",NA,NA,NA
889,"Abóboda",38.7284544,-9.3279035,"São Domingos de Rana","Lisboa","Estrada Conceição da Abóboda","2785-543 São Domingos de Rana","http://maps.google.com/maps?z=12&t=m&q=Pingo+Doce+-+Estrada+Concei%C3%A7%C3%A3o+da+Ab%C3%B3boda++S%C3%A3o+Domingos+de+Rana",FALSE,"938875139",NA,NA,NA
682,"Abrantes - Encosta da Barata",39.466522217,-8.203965187,"Abrantes","Santarém","Avenida 14 de Junho - Encosta Da Barata","2200-298 Abrantes","http://maps.google.com/maps?z=12&t=m&q=Pingo+Doce+-+Avenida+14+de+Junho+-+Encosta+Da+Barata+Abrantes",FALSE,"938875682",1.625,NA,1.578
339,"Afonso V",41.15932,-8.66578,"Porto","Porto","Rua Afonso Baldaia","4150-24 Porto","http://maps.google.com/maps?z=12&t=m&q=Pingo+Doce+-+Rua+Afonso+Baldaia+Porto",FALSE,"938875339",NA,NA,NA
411,"Agualva",38.77526474,-9.284955025,"Sintra","Lisboa","Rua Sebastião Philippes Martins Estácio Veiga-U.Anta","2735-584 Sintra","http://maps.google.com/maps?z=12&t=m&q=Pingo+Doce+-+Rua+Sebasti%C3%A3o+Philippes+Martins+Est%C3%A1cio+Veiga-U.Anta+Sintra",FALSE,"938875411",NA,NA,NA
671,"Águeda - Quinta da Alagoa",40.59088,-8.45296,"Águeda","Aveiro","Quinta Da Alagoa","2750- Águeda","http://maps.google.com/maps?z=12&t=m&q=Pingo+Doce+-+Quinta+Da+Alagoa+%C3%81gueda",FALSE,"938043531",NA,NA,NA
820,"Alapraia",38.704965099642,-9.37799720237729,"Cascais","Lisboa","C.C. Areias - Alapraia","2765-88 Cascais","http://maps.google.com/maps?z=12&t=m&q=Pingo+Doce+-+C.C.+Areias+-+Alapraia+Cascais",FALSE,"938875820",NA,NA,NA
519,"Albergaria-a-Velha",40.713244,-8.482041,"Albergaria-a-Velha","Aveiro","Lugar do Areeiro, Zona Industrial","3850-200 Albergaria-a-Velha","http://maps.google.com/maps?z=12&t=m&q=Pingo+Doce+-+Lugar+do+Areeiro%2C+Zona+Industrial+Albergaria-a-Velha",FALSE,"938875214",NA,NA,NA
850,"Albufeira - Bela Vista",37.0918,-8.24093,"Albufeira","Faro","Avenida Dos Descobrimentos - Urbanização Bela Vista","8200-127 Albufeira","http://maps.google.com/maps?z=12&t=m&q=Pingo+Doce+-+Avenida+Dos+Descobrimentos+-+Urbaniza%C3%A7%C3%A3o+Bela+Vista+Albufeira",FALSE,"938875850",NA,NA,NA
622,"Albufeira - Caliços",37.1003378646495,-8.25296401977539,"Albufeira","Faro","Urbanização Dos Caliços","8200-667 Albufeira","http://maps.google.com/maps?z=12&t=m&q=Pingo+Doce+-+Urbaniza%C3%A7%C3%A3o+Dos+Cali%C3%A7os+Albufeira",FALSE,"938875212",NA,NA,NA
754,"Albufeira - Quinta da Correeira",37.093997,-8.23391,"Albufeira","Faro","Rua Do Lageado - Urbanização Da Quinta Da Correeira","8200-328 Albufeira","http://maps.google.com/maps?z=12&t=m&q=Pingo+Doce+-+Rua+Do+Lageado+-+Urbaniza%C3%A7%C3%A3o+Da+Quinta+Da+Correeira+Albufeira",FALSE,"938875754",NA,NA,NA
459,"Alcântara",38.7029609680176,-9.17521953582764,"Lisboa","Lisboa","Rua Cascais","1300-120 Lisboa","http://maps.google.com/maps?z=12&t=m&q=Pingo+Doce+-+Rua+Cascais+Lisboa",FALSE,"938875559",NA,NA,NA
863,"Alcobaça - Quinta da Barrada",39.54594,-8.96871,"Alcobaça","Leiria","VCI - Quinta da Bairrada","2460- Alcobaça","http://maps.google.com/maps?z=12&t=m&q=Pingo+Doce+-+VCI+-+Quinta+da+Bairrada+Alcoba%C3%A7a",FALSE,"937876613",NA,NA,NA
765,"Alcochete",38.751962,-8.94558,"Alcochete","Setúbal","Avenida Euro 2004 - Sítio Da Quebrada","2890-154 Alcochete","http://maps.google.com/maps?z=12&t=m&q=Pingo+Doce+-+Avenida+Euro+2004+-+S%C3%ADtio+Da+Quebrada+Alcochete",FALSE,"938875765",NA,NA,NA
656,"Alegro Sintra - Hiper",38.77596,-9.34091,"Sintra","Lisboa","Ic 19 - Alto Do Forte","2735-18 Sintra","http://maps.google.com/maps?z=12&t=m&q=Pingo+Doce+-+Ic+19+-+Alto+Do+Forte+Sintra",FALSE,"936875656",NA,NA,NA
780,"Alenquer",39.04902,-8.99696,"Alenquer","Lisboa","Quinta do Bravo - Santo Estevão","2580-21 Alenquer","http://maps.google.com/maps?z=12&t=m&q=Pingo+Doce+-+Quinta+do+Bravo+-+Santo+Estev%C3%A3o+Alenquer",FALSE,"938875771",NA,NA,NA
439,"Alfragide",38.73793793,-9.224886894,"Amadora","Lisboa","Urbanização Qtª.Grande","2720- Amadora","http://maps.google.com/maps?z=12&t=m&q=Pingo+Doce+-+Urbaniza%C3%A7%C3%A3o+Qt%C2%AA.Grande+Amadora",FALSE,"938875439",NA,NA,NA
821,"Algés",38.69997,-9.22906,"Oeiras","Lisboa","Rua Gen. Humberto Delgado","1495-68 Oeiras","http://maps.google.com/maps?z=12&t=m&q=Pingo+Doce+-+Rua+Gen.+Humberto+Delgado+Oeiras",FALSE,"938875821",NA,NA,NA
649,"Aljustrel",37.8812835,-8.162676,"Aljustrel","Beja","Estrada Municipal 539","7600-73 Aljustrel","http://maps.google.com/maps?z=12&t=m&q=Pingo+Doce+-+Estrada+Municipal+539+Aljustrel",FALSE,"938875033",NA,NA,NA
414,"Almada",38.678547,-9.156519,"Almada","Setúbal","Rua Garcia Da Horta","2800-698 Almada","http://maps.google.com/maps?z=12&t=m&q=Pingo+Doce+-+Rua+Garcia+Da+Horta+Almada",FALSE,"938875414",NA,NA,NA
399,"Almancil",37.09033,-8.0334,"Loulé","Faro","Rua Maria Campina","8135-139 Loulé","http://maps.google.com/maps?z=12&t=m&q=Pingo+Doce+-+Rua+Maria+Campina+Loul%C3%A9",FALSE,"938875399",NA,NA,NA
683,"Almeirim - Quinta da Alorna",39.19111111,-8.623333333,"Almeirim","Santarém","Quinta Da Alorna - Zona Industrial De Almeirim","2080-221 Almeirim","http://maps.google.com/maps?z=12&t=m&q=Pingo+Doce+-+Quinta+Da+Alorna+-+Zona+Industrial+De+Almeirim+Almeirim",FALSE,"938875683",1.605,1.758,1.536
816,"Almodôvar",37.511905,-8.065542,"Almodôvar","Beja","E.N. 393, Cerca Dos Soeiros","7700-18 Almodôvar","http://maps.google.com/maps?z=12&t=m&q=Pingo+Doce+-+E.N.+393%2C+Cerca+Dos+Soeiros+Almod%C3%B4var",FALSE,"938875816",NA,NA,NA
888,"Altura",37.1807,-7.4971,"Altura","Faro","Rua João de Almeida","8950-414 Altura","http://maps.google.com/maps?z=12&t=m&q=Pingo+Doce+-+Rua+Jo%C3%A3o+de+Almeida++Altura",FALSE,"281247030",NA,NA,NA
492,"Alvalade",38.75319,-9.14465,"Lisboa","Lisboa","C.C. Alvalade - Praça de Alvalade","1700-36 Lisboa","http://maps.google.com/maps?z=12&t=m&q=Pingo+Doce+-+C.C.+Alvalade+-+Pra%C3%A7a+de+Alvalade+Lisboa",FALSE,"938042406",NA,NA,NA
803,"Alvalade - Conde Sabugosa",38.748326,-9.140387,"Lisboa","Lisboa","Rua Conde Sabugosa","1700-115 Lisboa","http://maps.google.com/maps?z=12&t=m&q=Pingo+Doce+-+Rua+Conde+Sabugosa+Lisboa",FALSE,"938875803",NA,NA,NA
